school,year,enrollment,,,,,,,,,,,,,
BSU,FA15,155,,,,,,,,,,,,,
BSU,FA16,177,,,,,,,,,,,,,
BSU,FA17,227,,,,,,,,,,,,,
BSU,FA18,241,,,,,,,,,,,,,
BSU,FA19,259,,,,,,,,,,,,,
BSU,FA20,254,,,,,,,,,,,,,
BSU,FA21,285,,,,,,,,,,,,,
BSU,FA22,310,,,,,,,,,,,,,
BSU,FA23,348,,,,,,,,,,,,,
BSU,FA24,347,,,,,,,,,,,,,
CSU,FA15,62,,,,,,,,,,,,,
CSU,FA16,56,,,,,,,,,,,,,
CSU,FA17,61,,,,,,,,,,,,,
CSU,FA18,70,,,,,,,,,,,,,
CSU,FA19,67,,,,,,,,,,,,,
CSU,FA20,75,,,,,,,,,,,,,
CSU,FA21,52,,,,,,,,,,,,,
CSU,FA22,55,,,,,,,,,,,,,
CSU,FA23,89,,,,,,,,,,,,,
CSU,FA24,94,,,,,,,,,,,,,
FSU,FA15,260,,,,,,,,,,,,,
FSU,FA16,297,,,,,,,,,,,,,
FSU,FA17,277,,,,,,,,,,,,,
FSU,FA18,248,,,,,,,,,,,,,
FSU,FA19,239,,,,,,,,,,,,,
FSU,FA20,222,,,,,,,,,,,,,
FSU,FA21,226,,,,,,,,,,,,,
FSU,FA22,215,,,,,,,,,,,,,
FSU,FA23,232,,,,,,,,,,,,,
FSU,FA24,240,,,,,,,,,,,,,
SU,FA15,347,,,,,,,,,,,,,
SU,FA16,321,,,,,,,,,,,,,
SU,FA17,324,,,,,,,,,,,,,
SU,FA18,344,,,,,,,,,,,,,
SU,FA19,376,,,,,,,,,,,,,
SU,FA20,388,,,,,,,,,,,,,
SU,FA21,417,,,,,,,,,,,,,
SU,FA22,461,,,,,,,,,,,,,
SU,FA23,505,,,,,,,,,,,,,
SU,FA24,536,,,,,,,,,,,,,
TU,FA15,"1,303",,,,,,,,,,,,,
TU,FA16,"1,448",,,,,,,,,,,,,
TU,FA17,"1,619",,,,,,,,,,,,,
TU,FA18,"1,733",,,,,,,,,,,,,
TU,FA19,"1,816",,,,,,,,,,,,,
TU,FA20,"1,829",,,,,,,,,,,,,
TU,FA21,"1,875",,,,,,,,,,,,,
TU,FA22,"1,874",,,,,,,,,,,,,
TU,FA23,"1,963",,,,,,,,,,,,,
TU,FA24,"2,030",,,,,,,,,,,,,
UB,FA15,285,,,,,,,,,,,,,
UB,FA16,231,,,,,,,,,,,,,
UB,FA17,193,,,,,,,,,,,,,
UB,FA18,196,,,,,,,,,,,,,
UB,FA19,253,,,,,,,,,,,,,
UB,FA20,302,,,,,,,,,,,,,
UB,FA21,295,,,,,,,,,,,,,
UB,FA22,281,,,,,,,,,,,,,
UB,FA23,242,,,,,,,,,,,,,
UB,FA24,175,,,,,,,,,,,,,
UMGC,FA15,"5,217",,,,,,,,,,,,,
UMGC,FA16,"6,606",,,,,,,,,,,,,
UMGC,FA17,"6,934",,,,,,,,,,,,,
UMGC,FA18,"7,419",,,,,,,,,,,,,
UMGC,FA19,"7,691",,,,,,,,,,,,,
UMGC,FA20,"8,165",,,,,,,,,,,,,
UMGC,FA21,"7,916",,,,,,,,,,,,,
UMGC,FA22,"8,801",,,,,,,,,,,,,
UMGC,FA23,"9,784",,,,,,,,,,,,,
UMGC,FA24,"10,329",,,,,,,,,,,,,
UMB,FA15,345,,,,,,,,,,,,,
UMB,FA16,400,,,,,,,,,,,,,
UMB,FA17,401,,,,,,,,,,,,,
UMB,FA18,459,,,,,,,,,,,,,
UMB,FA19,489,,,,,,,,,,,,,
UMB,FA20,560,,,,,,,,,,,,,
UMB,FA21,573,,,,,,,,,,,,,
UMB,FA22,604,,,,,,,,,,,,,
UMB,FA23,599,,,,,,,,,,,,,
UMB,FA24,592,,,,,,,,,,,,,
UMBC,FA15,780,,,,,,,,,,,,,
UMBC,FA16,856,,,,,,,,,,,,,
UMBC,FA17,933,,,,,,,,,,,,,
UMBC,FA18,979,,,,,,,,,,,,,
UMBC,FA19,"1,030",,,,,,,,,,,,,
UMBC,FA20,"1,102",,,,,,,,,,,,,
UMBC,FA21,"1,101",,,,,,,,,,,,,
UMBC,FA22,"1,111",,,,,,,,,,,,,
UMBC,FA23,"1,087",,,,,,,,,,,,,
UMBC,FA24,"1,204",,,,,,,,,,,,,
UMCP,FA15,"2,976",,,,,,,,,,,,,
UMCP,FA16,"3,200",,,,,,,,,,,,,
UMCP,FA17,"3,316",,,,,,,,,,,,,
UMCP,FA18,"3,398",,,,,,,,,,,,,
UMCP,FA19,"3,283",,,,,,,,,,,,,
UMCP,FA20,"3,522",,,,,,,,,,,,,
UMCP,FA21,"3,693",,,,,,,,,,,,,
UMCP,FA22,"3,666",,,,,,,,,,,,,
UMCP,FA23,"3,802",,,,,,,,,,,,,
UMCP,FA24,"4,047",,,,,,,,,,,,,
UMES,FA15,115,,,,,,,,,,,,,
UMES,FA16,113,,,,,,,,,,,,,
UMES,FA17,126,,,,,,,,,,,,,
UMES,FA18,128,,,,,,,,,,,,,
UMES,FA19,126,,,,,,,,,,,,,
UMES,FA20,132,,,,,,,,,,,,,
UMES,FA21,109,,,,,,,,,,,,,
UMES,FA22,100,,,,,,,,,,,,,
UMES,FA23,127,,,,,,,,,,,,,
UMES,FA24,111,,,,,,,,,,,,,
